long,lat
144.85,-40.97
-71.52432,-40.96934
147.7625,-40.96667
-70.45601,-40.96362
-71.53396,-40.95383
-70.69716,-40.95067
145,-40.95
144.6110501,-40.94862916
-71.58864,-40.94373
-71.53508,-40.94358
-71.03903,-40.933
-71.55538,-40.93073
144.62,-40.93
-71.05673,-40.92794
144.72,-40.92
144.82,-40.92
144.95,-40.92
144.98,-40.92
-71.13275,-40.91623
-71.07,-40.91
-71.53737,-40.90139
144.91667,-40.9
-70.86087,-40.89313
-70.94531,-40.89081
-71.54989,-40.88712
145.23333,-40.88333
-71.00814,-40.8816
-71.54104,-40.87881
-71.46161,-40.87827
-71.05864,-40.86611
-70.57042,-40.86076
-70.97444,-40.85717
-71.68634,-40.85658
144.92,-40.85
144.98,-40.85
145.07312,-40.84569004
-71.09108,-40.84547
-71.09638,-40.84396
-71.62218,-40.84337
-70.58062,-40.8416
-70.83464,-40.83629
